article_number,phase,series_name,title,slug,category,tags,primary_icp,secondary_icp,funnel_stage,search_intent,primary_keyword,secondary_keywords,target_cta,internal_links,image_concept,hero_template,freeindexer_mention,seoestore_mention,content_role,priority_level,planned_status,execution_blocker
1,Phase 1 Authority Foundation,Website Visibility Foundations,SEO Basics For Website Owners,seo-basics-for-website-owners,webmaster-guides,seo|website-owners|guide|search-visibility,Website Owner,Webmaster,top,informational,seo basics for website owners,website SEO basics|search visibility basics|website owner SEO,Build a simple visibility checklist,indexing-education-hub|content-visibility-checklist|website-owner-seo-maintenance-checklist,Beginner website visibility board with crawl links sitemap and priority URL cards,1,limited,none,hub,P1,scheduled,
50,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,Pricing Page SEO And CRO,pricing-page-seo-and-cro,landing-pages-cro,pricing|landing-pages|cro|saas-seo,SaaS Or Product Team,Founder,bottom,commercial investigation,pricing page SEO and CRO,pricing page SEO|pricing page conversion|SaaS pricing page SEO,Make pricing pages discoverable,seo-landing-page-structure|track-organic-landing-pages|free-url-indexer,Pricing page wireframe with plan cards proof FAQ schema-like blocks and conversion path,2,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
51,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,Lead Capture Page SEO Checklist,lead-capture-page-seo-checklist,landing-pages-cro,lead-capture|landing-pages|on-page-seo|conversion-optimization,Founder,Growth Operator,middle,informational-commercial,lead capture page SEO checklist,lead capture SEO|landing page form SEO|lead generation page checklist,Build better lead pages,seo-landing-page-structure|content-marketing-that-gets-discovered|track-organic-landing-pages,Lead capture page board with form fields intent proof privacy and tracking checks,3,no,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
52,Phase 2 Digital Marketing Expansion,Landing Pages And CRO,Landing Page Indexing Checklist,landing-page-indexing-checklist,use-cases,landing-pages|url-indexing|checklist|product-pages,SEO Operator,SaaS Or Product Team,middle,informational-commercial,landing page indexing checklist,landing page indexing|SEO landing page indexability|submit landing page to Google,Submit pages after checks,seo-landing-page-structure|url-submission-checklist-before-indexing|indexing-workflow-for-product-launch-pages,Landing page indexing readiness board with crawl canonical internal links and CTA status,1,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
53,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,Digital Marketing Operations Workflow,digital-marketing-operations-workflow,digital-marketing-operations,digital-marketing-operations|marketing-workflows|growth-workflows|seo-strategy,Growth Operator,Founder,middle,informational,digital marketing operations workflow,marketing operations workflow|growth operations SEO|digital marketing process,Build a marketing operating system,weekly-webmaster-seo-workflow|url-inventory-management-for-seo-teams|content-marketing-that-gets-discovered,Marketing operations hub board with content SEO analytics campaigns vendors and reporting lanes,2,limited,none,hub,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
54,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,SEO QA Process Before Publishing,seo-qa-process-before-publishing,digital-marketing-operations,seo-qa|blog-publishing|technical-seo|checklist,SaaS Or Product Team,Content Marketer,middle,informational-commercial,SEO QA process before publishing,SEO QA checklist|publishing QA workflow|SEO pre-publish checklist,Add SEO QA gates,digital-marketing-operations-workflow|url-submission-checklist-before-indexing|technical-seo-indexing-audit,SEO QA board with owner checkpoints for metadata links canonicals analytics and submission readiness,3,limited,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
55,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,Content Calendar For SEO Growth,content-calendar-for-seo-growth,digital-marketing-operations,content-calendar|content-marketing|growth-workflows|seo-strategy,Content Marketer,Growth Operator,middle,informational,content calendar for SEO growth,SEO content calendar|content calendar workflow|organic growth calendar,Plan content operations,digital-marketing-operations-workflow|content-cluster-planning-for-search-visibility|content-refresh-workflow-for-organic-growth,Content calendar board with clusters deadlines owners refresh dates and discovery follow-up,1,no,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
56,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,Marketing Task Workflow For Small Teams,marketing-task-workflow-for-small-teams,digital-marketing-operations,marketing-workflows|growth-workflows|seo-strategy|website-owners,Founder,Growth Operator,middle,informational,marketing task workflow for small teams,small team marketing workflow|marketing operations checklist|growth task workflow,Assign repeatable work,digital-marketing-operations-workflow|weekly-webmaster-seo-workflow|analytics-and-reporting-for-seo-growth,Small team task board with weekly SEO content analytics CRO and provider check lanes,2,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
57,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,Vendor Management Workflow For SEO Campaigns,vendor-management-workflow-for-seo-campaigns,digital-marketing-operations,seo-provider|marketing-workflows|client-reporting|seo-campaigns,SEO Agency,Growth Operator,middle,informational-commercial,vendor management workflow for SEO campaigns,SEO vendor management|SEO campaign provider workflow|managed SEO handoff,Manage provider handoffs,digital-marketing-operations-workflow|link-building-provider-checklist|seo-campaign-services-for-small-websites,Vendor workflow board with brief deliverables QA discovery follow-up and reporting lanes,3,yes,yes-main,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
58,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,Campaign Checklist For Repeatable SEO,campaign-checklist-for-repeatable-seo,bulk-seo-operations,seo-campaigns|marketing-workflows|checklist|bulk-url-operations,Growth Operator,SEO Agency,middle,informational-commercial,campaign checklist for repeatable SEO,SEO campaign checklist|repeatable SEO workflow|SEO operations checklist,Run campaigns with checks,digital-marketing-operations-workflow|seo-campaign-services-for-small-websites|analytics-and-reporting-for-seo-growth,Repeatable campaign checklist with planning execution verification indexing follow-up and reporting,1,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
59,Phase 2 Digital Marketing Expansion,Digital Marketing Operations,Client Reporting Workflow For SEO Agencies,client-reporting-workflow-for-seo-agencies,use-cases,client-reporting|seo-agencies|seo-reporting|marketing-workflows,SEO Agency,Growth Operator,middle,informational-commercial,client reporting workflow for SEO agencies,SEO agency reporting workflow|client SEO report process|agency reporting checklist,Standardize client reporting,digital-marketing-operations-workflow|monthly-seo-reporting-dashboard|gsc-client-reporting-workflow,Agency client reporting workflow with deliverables verification visibility and next action blocks,2,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
60,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,AI Search Visibility For SEO Operators,ai-search-visibility-for-seo-operators,ai-search-visibility,ai-search|geo|llm-visibility|seo-operators,SEO Operator,SaaS Or Product Team,top,informational,AI search visibility for SEO operators,AI search visibility|GEO SEO|LLM visibility SEO,Keep AI visibility grounded,technical-seo-indexing-audit|content-marketing-that-gets-discovered|geo-readiness-checklist-for-website-owners,AI search visibility hub map with crawlable content entities links and visibility surfaces,3,limited,none,hub,P1,published,
61,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,GEO Readiness Checklist For Website Owners,geo-readiness-checklist-for-website-owners,ai-search-visibility,geo|ai-search|website-owners|checklist,Website Owner,Content Marketer,top,informational,GEO readiness checklist,GEO checklist|generative engine optimization checklist|AI search readiness,Strengthen content clarity,ai-search-visibility-for-seo-operators|content-visibility-checklist|technical-seo-indexing-audit,GEO readiness checklist with entity clarity crawlability internal links and content coverage,1,limited,none,cluster,P1,scheduled,
62,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,Content Structure For AI Search Discovery,content-structure-for-ai-search-discovery,ai-search-visibility,ai-search|content-marketing|llm-visibility|content-discovery,SaaS Or Product Team,Content Marketer,top,informational,content structure for AI search discovery,AI search content structure|LLM visibility content|structured content SEO,Structure content clearly,ai-search-visibility-for-seo-operators|content-marketing-that-gets-discovered|technical-seo-indexing-audit,Structured content map with entities FAQs comparisons proof and internal link paths,2,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
63,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,Entity Clarity For SEO And AI Search,entity-clarity-for-seo-and-ai-search,ai-search-visibility,geo|llm-visibility|seo-strategy|ai-search,SEO Operator,SaaS Or Product Team,top,informational,entity clarity for SEO and AI search,entity SEO|AI search entity clarity|brand entity optimization,Clarify entities,ai-search-visibility-for-seo-operators|geo-readiness-checklist-for-website-owners|content-structure-for-ai-search-discovery,Entity clarity board with brand product audience problem solution and source cards,3,no,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
64,Phase 4 Platform And Advanced Growth,AI Search / GEO Visibility,Technical SEO Foundations For AI Search,technical-seo-foundations-for-ai-search,technical-seo,technical-seo|ai-search|crawlability|llm-visibility,SEO Operator,SaaS Or Product Team,middle,informational,technical SEO foundations for AI search,AI search technical SEO|technical SEO for GEO|crawlability AI search,Keep AI discovery crawlable,ai-search-visibility-for-seo-operators|technical-seo-indexing-audit|crawlability-checklist,Technical foundations board for AI search with crawlability schema-like structure links and sitemaps,1,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
65,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,Tools Providers And Workflow Comparisons,tools-providers-and-workflow-comparisons,comparisons,comparison|buying-guide|digital-marketing-tools|seo-software,Tool/API Evaluator,SEO Agency,bottom,commercial investigation,SEO tools and providers comparison,SEO tools vs providers|digital marketing tools comparison|workflow comparison,Choose the workflow role first,best-google-indexing-tools|seo-provider-vs-indexing-tool|seo-tool-stack-for-small-agencies,Comparison hub board with tools providers platforms and workflow layer decision cards,2,limited,none,hub,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
66,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,SEO Provider vs Indexing Tool,seo-provider-vs-indexing-tool,seo-tools-providers,seo-provider|seo-campaigns|indexing-tools|comparison,SEO Agency,Website Owner,bottom,commercial investigation,SEO provider vs indexing tool,managed SEO vs indexing tool|SEO provider workflow|indexing tool workflow,Separate provider work from discovery follow-up,backlink-indexing-tool-vs-seo-provider|best-google-indexing-tools|track-backlink-discovery-for-seo-campaigns,Provider versus indexing tool board with execution QA and discovery follow-up lanes,3,yes,yes-main,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
67,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,SEO Platform vs Indexing Tool,seo-platform-vs-indexing-tool,comparisons,comparison|indexing-tools|seo-software|buying-guide,Tool/API Evaluator,SEO Operator,bottom,commercial investigation,SEO platform vs indexing tool,SEO platform comparison|indexing tool comparison|SEO software buying guide,Choose platform or workflow,best-google-indexing-tools|freeindexer-vs-indexing-api|seo-provider-vs-indexing-tool,Comparison table visual showing platform dashboards and indexing workflow queues,1,yes,none,cluster,P2,scheduled,
68,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,Google Search Console vs Indexing Tool,google-search-console-vs-indexing-tool,comparisons,google-search-console|indexing-tools|comparison|buying-guide,Tool/API Evaluator,Webmaster,bottom,commercial investigation,Google Search Console vs indexing tool,GSC vs indexing tool|Search Console indexing workflow|request indexing tool,Use GSC for diagnosis and tools for repeat work,google-search-console-indexing-guide|best-google-indexing-tools|manual-url-submission-vs-bulk-indexing-workflow,Abstract comparison of diagnostic reports and repeat submission workflow queues,2,yes,none,cluster,P2,published,
69,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,Backlink Tools vs Indexing Tools,backlink-tools-vs-indexing-tools,comparisons,backlink-tools|indexing-tools|comparison|backlink-discovery,Tool/API Evaluator,SEO Agency,bottom,commercial investigation,backlink tools vs indexing tools,backlink tool comparison|backlink discovery tools|indexing tools for backlinks,Use backlink tools for data and indexing tools for follow-up,backlink-discovery-and-indexing-guide|best-google-indexing-tools|backlink-indexing-checklist,Backlink data tools and indexing queues connected by verification checkpoint,3,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
70,Phase 3 Commercial And Provider Layer,Tools Providers And Workflow Comparisons,Link-Building Tools vs Indexing Tools,link-building-tools-vs-indexing-tools,comparisons,link-building-tools|indexing-tools|comparison|backlink-tools,Tool/API Evaluator,SEO Operator,bottom,commercial investigation,link-building tools vs indexing tools,link building tools comparison|indexing tool comparison|SEO workflow tools,Separate creation from discovery,backlink-tools-vs-indexing-tools|backlink-discovery-and-indexing-guide|gsa-search-engine-ranker-vs-indexing-workflow,Comparison board with link-building execution tools and indexing follow-up tools,1,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
71,Phase 3 Commercial And Provider Layer,SEO Software And Automation Tools,SEO Software And Automation Tools,seo-software-and-automation-tools,seo-tools-providers,seo-software|seo-automation|digital-marketing-tools|seo-agencies,SEO Operator,SEO Agency,bottom,commercial investigation,SEO software and automation tools,SEO automation tools|SEO software workflow|agency SEO software,Use automation responsibly,gsa-search-engine-ranker-vs-indexing-workflow|rankerx-vs-seo-provider-workflow|seo-tool-stack-for-small-agencies,SEO software hub board with execution QA verification indexing and reporting layers,2,yes,none,hub,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
72,Phase 3 Commercial And Provider Layer,SEO Software And Automation Tools,GSA Search Engine Ranker vs Indexing Workflow,gsa-search-engine-ranker-vs-indexing-workflow,seo-tools-providers,gsa-ser|seo-software|seo-automation|backlink-tools,SEO Operator,SEO Agency,bottom,commercial investigation,GSA Search Engine Ranker vs indexing workflow,GSA SER indexing workflow|SEO automation indexing|link building tools vs indexing tools,Separate software output from verified follow-up,backlink-discovery-and-indexing-guide|backlink-quality-before-indexing|best-google-indexing-tools,Responsible software workflow board with GSA lane QA checks and indexing queue,3,yes,none,cluster,P1,scheduled,
73,Phase 3 Commercial And Provider Layer,SEO Software And Automation Tools,RankerX vs SEO Provider Workflow,rankerx-vs-seo-provider-workflow,seo-tools-providers,rankerx|seo-software|seo-provider|seo-automation,SEO Agency,SEO Operator,bottom,commercial investigation,RankerX vs SEO provider workflow,RankerX SEO workflow|SEO software vs provider|automation vs managed SEO,Choose the execution layer first,backlink-discovery-and-indexing-guide|manage-backlink-vendors-indexing-visibility|backlink-indexing-tool-vs-seo-provider,RankerX software lane provider lane QA lane and indexing follow-up lane,1,yes,none,cluster,P1,scheduled,
74,Phase 3 Commercial And Provider Layer,SEO Software And Automation Tools,Best SEO Automation Tools For Agencies,best-seo-automation-tools-for-agencies,seo-tools-providers,seo-automation|seo-software|seo-agencies|buying-guide,SEO Agency,SEO Operator,bottom,commercial investigation,best SEO automation tools for agencies,SEO automation tools agency|SEO software for agencies|agency SEO tools,Compare automation responsibly,seo-software-and-automation-tools|gsa-search-engine-ranker-vs-indexing-workflow|rankerx-vs-seo-provider-workflow,Agency automation comparison board with risk owner QA reporting and follow-up columns,2,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
75,Phase 3 Commercial And Provider Layer,SEO Software And Automation Tools,How To Manage SEO Software Without Losing Quality,how-to-manage-seo-software-without-losing-quality,bulk-seo-operations,seo-software|seo-automation|seo-qa|bulk-url-operations,SEO Operator,SEO Agency,middle,informational-commercial,manage SEO software without losing quality,SEO software quality control|SEO automation QA|SEO workflow quality,Add quality gates,seo-software-and-automation-tools|digital-marketing-operations-workflow|backlink-quality-before-indexing,Quality control board for SEO software with rules samples verification and reporting gates,3,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
76,Phase 3 Commercial And Provider Layer,SEO Software And Automation Tools,SEO Automation vs Managed SEO Services,seo-automation-vs-managed-seo-services,seo-tools-providers,seo-automation|seo-provider|seo-campaigns|comparison,SEO Agency,Founder,bottom,commercial investigation,SEO automation vs managed SEO services,managed SEO vs automation|SEO provider vs software|SEO campaign tools,Choose execution model,seo-software-and-automation-tools|seo-provider-vs-indexing-tool|seo-campaign-services-for-small-websites,Decision board comparing automation control managed service support QA and reporting,1,yes,yes-main,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
77,Phase 3 Commercial And Provider Layer,SEO Software And Automation Tools,How To Track Links Created By SEO Software,how-to-track-links-created-by-seo-software,desktop-app,seo-software|backlink-tools|backlink-discovery|desktop-app,SEO Operator,Blog Or Network Owner,middle,informational-commercial,track links created by SEO software,track SEO software links|backlink tracking workflow|SEO automation link tracking,Track created links responsibly,backlink-discovery-workflow-after-link-building|track-backlink-discovery-for-seo-campaigns|backlink-quality-before-indexing,Desktop-style link tracking board with exported URLs verification priority and follow-up status,2,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
78,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,SEO Campaign Services For Small Websites,seo-campaign-services-for-small-websites,seo-tools-providers,seo-campaigns|seo-provider|seoestore|website-owners,Website Owner,Growth Operator,middle,informational-commercial,SEO campaign services for small websites,managed SEO campaigns small website|SEO campaign workflow|SEO provider services,Plan SEO campaign services safely,website-owner-seo-maintenance-checklist|indexing-education-hub|backlink-discovery-and-indexing-guide,Small website campaign board with goals provider tasks verified URLs and discovery follow-up,3,yes,yes-campaigns,hub,P1,published,
79,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,Managed SEO Campaigns vs DIY SEO Tools,managed-seo-campaigns-vs-diy-seo-tools,use-cases,seo-campaigns|seo-provider|digital-marketing-tools|comparison,Founder,SEO Agency,bottom,commercial investigation,managed SEO campaigns vs DIY SEO tools,managed SEO vs DIY|SEO services vs tools|SEO campaign tools,Choose managed or DIY execution,seo-campaign-services-for-small-websites|seo-provider-vs-indexing-tool|seo-automation-vs-managed-seo-services,Managed campaign and DIY tool decision board with cost control QA and reporting,1,yes,yes-campaigns,cluster,P1,scheduled,
80,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,How To Plan An SEO Campaign For A New Website,how-to-plan-an-seo-campaign-for-a-new-website,webmaster-guides,seo-campaigns|website-owners|seo-strategy|growth-workflows,Website Owner,Founder,middle,informational-commercial,plan SEO campaign for new website,new website SEO campaign|SEO campaign planning|small website SEO plan,Plan a new-site campaign,seo-campaign-services-for-small-websites|indexing-checklist-for-new-websites|content-marketing-that-gets-discovered,New website campaign plan with baseline audit content technical links and follow-up roadmap,2,limited,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
81,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,How To Track SEO Campaign Deliverables,how-to-track-seo-campaign-deliverables,bulk-seo-operations,seo-campaigns|client-reporting|seo-provider|marketing-workflows,SEO Agency,Growth Operator,middle,informational-commercial,track SEO campaign deliverables,SEO deliverable tracking|campaign tracking workflow|SEO provider deliverables,Track campaign outputs,seo-campaign-services-for-small-websites|link-building-provider-checklist|analytics-and-reporting-for-seo-growth,Campaign deliverables tracker with owner due date verification priority and reporting columns,3,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
82,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,How To Verify SEO Campaign Results,how-to-verify-seo-campaign-results,troubleshooting,seo-campaigns|seo-reporting|seo-provider|analytics-reporting,Growth Operator,SEO Agency,middle,informational-commercial,verify SEO campaign results,SEO campaign results verification|SEO reporting verification|campaign performance checks,Verify outcomes carefully,how-to-track-seo-campaign-deliverables|indexing-vs-traffic-reporting|monthly-seo-reporting-dashboard,SEO campaign verification board with deliverables visibility traffic leads and next actions,1,limited,yes-main,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
83,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,SEO Campaign Workflow From Provider To Indexing,seo-campaign-workflow-from-provider-to-indexing,indexing-education,seo-campaigns|seo-provider|url-indexing|content-discovery,SEO Agency,SEO Operator,middle,informational-commercial,SEO campaign workflow from provider to indexing,provider to indexing workflow|SEO campaign indexing|managed SEO discovery follow-up,Connect provider work to follow-up,seo-campaign-services-for-small-websites|seo-provider-vs-indexing-tool|backlink-discovery-and-indexing-guide,Provider-to-indexing workflow diagram with plan execute verify submit track report stages,2,yes,yes-campaigns,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
84,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,Link-Building Provider Checklist For Local SEO Campaigns,link-building-provider-checklist-for-local-seo-campaigns,use-cases,seo-provider|backlinks|seo-campaigns|website-owners,SEO Agency,Website Owner,middle,informational-commercial,link-building provider checklist local SEO,local SEO link building provider|local campaign backlink checklist|SEO provider QA,Verify local campaign links,link-building-provider-checklist|indexing-workflow-for-local-seo-pages|track-backlink-discovery-for-seo-campaigns,Local SEO provider checklist board with citations links landing pages and verification status,3,yes,yes-main,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
85,Phase 3 Commercial And Provider Layer,SEO Campaign Services And Provider Workflows,Small Website SEO Provider Handoff Checklist,small-website-seo-provider-handoff-checklist,use-cases,seo-provider|website-owners|seo-campaigns|checklist,Website Owner,Growth Operator,middle,informational-commercial,small website SEO provider handoff checklist,SEO provider handoff|managed SEO checklist|small business SEO provider,Prepare a clean provider handoff,seo-campaign-services-for-small-websites|website-owner-seo-maintenance-checklist|seo-provider-vs-indexing-tool,Provider handoff checklist with goals access target pages baseline data and reporting fields,1,limited,yes-main,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
86,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,Platform SEO Playbooks,platform-seo-playbooks,platform-seo,platform-seo|ecommerce-seo|technical-seo|guide,Ecommerce Store Owner,Webmaster,top,informational,platform SEO playbooks,platform SEO guide|website platform SEO|platform indexing guide,Choose the right platform checks,shopify-seo-indexing-checklist|wordpress-indexing-checklist|technical-seo-indexing-audit,Platform SEO hub board with Shopify WordPress WooCommerce SaaS and site-builder lanes,2,limited,none,hub,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
87,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,Shopify SEO Indexing Checklist,shopify-seo-indexing-checklist,platform-seo,shopify-seo|ecommerce-seo|platform-seo|indexing,Ecommerce Store Owner,SEO Operator,middle,informational-commercial,Shopify SEO indexing checklist,Shopify indexing checklist|Shopify product pages indexing|Shopify sitemap Search Console,Prioritize Shopify URLs,platform-seo-playbooks|technical-seo-indexing-audit|google-search-console-indexing-guide,Shopify product collection blog and sitemap checklist dashboard with orange priority markers,3,yes,none,cluster,P1,published,
88,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,Shopify Product Pages Not Indexing,shopify-product-pages-not-indexing,troubleshooting,shopify-seo|product-pages|troubleshooting|google-indexing,Ecommerce Store Owner,Webmaster,top,troubleshooting,Shopify product pages not indexing,Shopify products not indexing|Shopify Google indexing|product pages not indexed,Fix product indexing issues,shopify-seo-indexing-checklist|why-google-is-not-indexing-my-url|technical-seo-indexing-audit,Shopify product page diagnosis board with product status sitemap canonical and internal link checks,1,yes,none,cluster,P1,published,
89,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,Shopify Sitemap And Search Console Guide,shopify-sitemap-and-search-console-guide,platform-seo,shopify-seo|sitemap|google-search-console|platform-seo,Ecommerce Store Owner,Webmaster,top,informational,Shopify sitemap Search Console guide,Shopify sitemap guide|Shopify Search Console setup|Shopify XML sitemap,Connect Shopify to GSC,shopify-seo-indexing-checklist|submit-sitemap-in-google-search-console|search-console-sitemap-errors,Shopify sitemap and GSC abstract dashboard with sitemap files pages and inspection cards,2,limited,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
90,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,WordPress Indexing Checklist,wordpress-indexing-checklist,platform-seo,wordpress-seo|platform-seo|sitemap|google-search-console,Website Owner,Webmaster,middle,informational-commercial,WordPress indexing checklist,WordPress SEO indexing|WordPress pages not indexing|WordPress sitemap Search Console,Audit WordPress pages before submission,platform-seo-playbooks|google-search-console-indexing-guide|technical-seo-indexing-audit,WordPress posts pages categories sitemap and Search Console checklist board,3,yes,none,cluster,P1,scheduled,
91,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,WooCommerce Category Page SEO Workflow,woocommerce-category-page-seo-workflow,platform-seo,woocommerce-seo|ecommerce-seo|platform-seo|canonical-tags,Ecommerce Store Owner,SEO Operator,middle,informational-commercial,WooCommerce category page SEO workflow,WooCommerce category SEO|WooCommerce indexing|ecommerce category SEO,Improve category visibility,ecommerce-category-page-indexing-guide|wordpress-indexing-checklist|canonical-tags-and-indexing,WooCommerce category workflow with products filters canonicals and sitemap checks,1,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
92,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,Ecommerce Category Page Indexing Guide,ecommerce-category-page-indexing-guide,platform-seo,ecommerce-seo|platform-seo|url-indexing|internal-linking,Ecommerce Store Owner,SEO Operator,middle,informational-commercial,ecommerce category page indexing,ecommerce category SEO|collection page indexing|category page indexability,Prioritize category pages by value,indexing-workflow-for-ecommerce-category-pages|technical-seo-indexing-audit|sitemap-indexing-checklist,Ecommerce category page audit board with product depth canonicals links and priority tiers,2,yes,none,cluster,P1,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
93,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,Webflow SEO Indexing Guide,webflow-seo-indexing-guide,platform-seo,platform-seo|sitemap|google-search-console|technical-seo,Website Owner,Webmaster,top,informational,Webflow SEO indexing guide,Webflow indexing|Webflow SEO checklist|Webflow Search Console,Audit Webflow discoverability,platform-seo-playbooks|google-search-console-indexing-guide|technical-seo-indexing-audit,Webflow SEO workflow board with CMS pages sitemap publishing and internal links,3,limited,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
94,Phase 4 Platform And Advanced Growth,Platform SEO Playbooks,SaaS Website SEO Indexing Workflow,saas-website-seo-indexing-workflow,bulk-seo-operations,saas-seo|platform-seo|product-pages|bulk-url-operations,SaaS Or Product Team,SEO Operator,middle,informational-commercial,SaaS website SEO indexing workflow,SaaS website indexing|SaaS SEO workflow|product page indexing,Prioritize SaaS URLs,indexing-for-saas-product-pages|indexing-workflow-for-product-launch-pages|technical-seo-indexing-audit,SaaS URL operations board with product docs integrations changelog and launch page queues,1,yes,none,cluster,P2,created,hero not generated yet; repo script requires OPENAI_API_KEY or reference/image_provider.json api_key for automated generation
